#SA  FB
0.30105     0.30395     
0.30207     0.30378     
0.30763     0.30383     
0.30377     0.30401     
0.30183     0.30389     
0.30213     0.3037      
0.30451     0.30383     
0.30598     0.30384     
0.29743     0.30392     
0.30444     0.30378     
0.3021      0.30377     
0.29746     0.3039      
0.30206     0.30384     
0.30608     0.30387     
0.30428     0.30381     
0.30236     0.30386     
0.30428     0.30384     
0.30117     0.30386     
0.30323     0.30386     
0.30189     0.30378     
0.30108     0.30374     
0.30123     0.30377     
0.30135     0.30381     
0.2991      0.30386     
0.30076     0.30383     
0.30195     0.3038      
0.3012      0.3039      
0.30045     0.30389     
0.30775     0.30396     
0.30143     0.30386     
0.30015     0.30384     
0.30436     0.3039      
0.30718     0.30392     
0.2974      0.30383     
0.3007      0.3039      
0.30607     0.30387     
0.30235     0.30387     
0.29766     0.30396     
0.30659     0.30392     
0.30174     0.30384     
0.30045     0.30393     
0.30436     0.30401     
0.30431     0.30387     
0.30197     0.30386     
0.30491     0.30378     
0.3025      0.30378     
0.30267     0.30378     
0.30007     0.30383     
0.29815     0.30381     
0.3039      0.30378     
0.3007      0.30386     
0.29928     0.30392     
0.3038      0.30381     
0.30074     0.30377     
0.30253     0.30389     
0.30441     0.3039      
0.30413     0.3039      
0.30134     0.30383     
0.3039      0.30386     
0.305       0.30392     
0.29775     0.3039      
0.3002      0.30383     
0.30505     0.30384     
0.30088     0.30383     
0.30396     0.30395     
0.30175     0.30384     
0.30061     0.30386     
0.30361     0.3038      
0.30276     0.30381     
0.30334     0.30395     
0.30395     0.3038      
0.29981     0.3038      
0.30201     0.3038      
0.31069     0.30384     
0.3016      0.30384     
0.30213     0.30384     
0.30517     0.30386     
0.30032     0.30398     
0.30259     0.3037      
0.30766     0.30374     
0.30139     0.30378     
0.30348     0.30389     
0.30262     0.30383     
0.30172     0.30384     
0.30056     0.3039      
0.30398     0.30384     
0.30566     0.30386     
0.30158     0.30378     
0.30334     0.30383     
0.30489     0.3039      
0.30456     0.30375     
0.30204     0.30374     
0.30428     0.3038      
0.30441     0.3039      
