#SA  FB
0.29546     0.30363     
0.29826     0.30375     
0.29646     0.30367     
0.30474     0.30364     
0.29855     0.30355     
0.29777     0.30364     
0.30012     0.30358     
0.29933     0.30364     
0.30377     0.30363     
0.29876     0.30363     
0.30512     0.30363     
0.30706     0.3036      
0.30787     0.30363     
0.30575     0.30348     
0.30642     0.30369     
0.30915     0.30369     
0.30872     0.30366     
0.31265     0.30378     
0.31002     0.30372     
0.30712     0.30377     
0.31317     0.3037      
0.30586     0.30372     
0.31054     0.30381     
0.30863     0.30389     
0.30911     0.3039      
0.31039     0.30389     
0.30595     0.30396     
0.31086     0.30396     
0.30796     0.30396     
0.30297     0.30401     
0.30259     0.30399     
0.30535     0.30398     
0.30254     0.30404     
0.30616     0.30403     
0.29899     0.30392     
0.30094     0.30399     
0.30088     0.30403     
0.29708     0.30377     
0.29812     0.30384     
0.298       0.30389     
0.29493     0.30392     
0.29571     0.30375     
0.29756     0.30386     
0.29525     0.3039      
0.29536     0.30375     
0.29958     0.30357     
0.29255     0.30364     
0.2967      0.3036      
0.2965      0.30364     
0.29337     0.3036      
0.29463     0.30364     
0.29954     0.30355     
0.29823     0.30348     
0.30033     0.30349     
0.29762     0.30355     
0.29955     0.30349     
0.30142     0.30346     
0.30439     0.30355     
0.30172     0.30348     
0.30172     0.30363     
0.30564     0.30337     
0.30679     0.30361     
0.3046      0.30357     
0.30793     0.30346     
0.30724     0.3037      
0.30883     0.30361     
0.31207     0.30372     
0.31054     0.30367     
0.30998     0.30355     
0.31173     0.3038      
0.31106     0.30374     
0.31228     0.30357     
0.31465     0.30361     
0.30723     0.30375     
0.31213     0.30374     
0.31088     0.30389     
0.30625     0.30383     
0.30496     0.30384     
0.30753     0.30392     
0.30482     0.30393     
0.30557     0.30393     
0.30108     0.30389     
0.30332     0.30387     
0.30029     0.30387     
0.2967      0.30384     
0.29713     0.30383     
0.29868     0.30399     
0.29742     0.30395     
0.29427     0.30393     
0.29313     0.30378     
0.29606     0.30378     
0.29598     0.30369     
0.29386     0.30375     
0.29493     0.30369     
0.29424     0.30367     
0.29403     0.30367     
0.29447     0.30377     
0.29551     0.30363     
0.29209     0.30377     
0.29772     0.30361     
0.29673     0.30354     
0.30285     0.30367     
0.29829     0.30354     
0.29717     0.30361     
0.2954      0.30357     
0.30293     0.30352     
0.30203     0.30352     
0.30157     0.30351     
0.30563     0.30367     
0.30398     0.3036      
0.30653     0.3036      
0.30619     0.30349     
0.30709     0.30352     
0.30424     0.30351     
0.30967     0.30348     
0.31016     0.30369     
0.30834     0.30375     
0.30956     0.30372     
0.30853     0.30381     
0.31005     0.30375     
0.31547     0.30387     
0.31266     0.30375     
0.30621     0.30381     
0.31556     0.30396     
0.30653     0.30387     
0.30666     0.30393     
0.30689     0.30398     
0.30778     0.30395     
0.30637     0.30401     
0.30326     0.30395     
0.30711     0.30403     
0.30236     0.30412     
0.30045     0.30401     
0.30647     0.30398     
0.30323     0.30399     
0.29569     0.30393     
0.29739     0.30404     
0.29926     0.30392     
0.29379     0.30403     
0.29711     0.30384     
0.2951      0.3039      
0.29493     0.30389     
0.2946      0.30401     
0.29884     0.30389     
0.29398     0.30386     
0.30174     0.30372     
0.29537     0.3038      
0.29414     0.30384     
0.29418     0.3039      
0.29517     0.3037      
0.29673     0.30375     
0.29862     0.30363     
0.30079     0.3037      
0.29371     0.30366     
0.29723     0.30364     
0.30125     0.30355     
0.30372     0.3037      
0.30271     0.30374     
0.30421     0.30358     
0.30399     0.30357     
0.30621     0.30358     
0.30561     0.30355     
0.30584     0.30358     
0.30566     0.30361     
0.30876     0.30366     
0.3077      0.30372     
0.31196     0.3037      
0.31243     0.30381     
0.31114     0.30367     
0.31092     0.30384     
0.30796     0.3037      
0.31246     0.30374     
0.31107     0.30378     
0.31613     0.30378     
0.31046     0.30377     
0.3079      0.30384     
0.30346     0.30392     
0.30859     0.30393     
0.30372     0.30389     
0.30427     0.30395     
0.30607     0.3039      
0.30309     0.30393     
0.30227     0.30386     
0.2992      0.30412     
0.30032     0.30407     
0.29794     0.30393     
0.29859     0.30392     
0.30291     0.30399     
0.29881     0.30392     
0.29434     0.30381     
0.2956      0.30393     
0.29421     0.30399     
0.29517     0.30378     
0.29562     0.30381     
