# Freq.    Re    Im
1392.34    18.0753    18.8429   
1412.52    18.119     19.1929   
1432.99    18.1604    19.5469   
1453.77    18.1392    19.926    
1474.84    18.1139    20.3087   
1496.22    18.0845    20.6948   
1517.9     18.0508    21.0845   
1539.91    18.0128    21.4777   
1562.23    17.9994    21.8471   
1584.87    17.9826    22.22     
1607.85    17.9623    22.5964   
1631.15    17.9385    22.9763   
1654.8     17.9111    23.3598   
1678.78    17.9554    23.7896   
1703.12    17.9969    24.2252   
1727.8     18.0356    24.6665   
1752.85    18.0713    25.1137   
1778.26    18.1041    25.5667   
1804.03    18.0855    25.9484   
1830.18    18.0638    26.3337   
1856.71    18.039     26.7224   
1883.62    18.0111    27.1148   
1910.93    17.9799    27.5107   
1938.63    17.9228    28.0142   
1966.73    17.86      28.5232   
1995.24    17.7915    29.0376   
2024.16    17.7172    29.5574   
2053.5     17.6368    30.0827   
2083.26    17.7132    30.5053   
2113.46    17.7888    30.9332   
2144.1     17.8633    31.3663   
2175.18    17.9369    31.8047   
2206.71    18.0096    32.2486   
2238.69    17.9825    32.7884   
2271.14    17.9509    33.3347   
2304.06    17.9147    33.8875   
2337.46    17.8737    34.4469   
2371.34    17.8279    35.0129   
2405.72    17.7352    35.6145   
2440.59    17.636     36.2229   
2475.96    17.53      36.838    
2511.85    17.4171    37.4599   
2548.26    17.2971    38.0886   
2585.2     17.3362    38.615    
2622.67    17.3735    39.1478   
2660.69    17.4089    39.687    
2699.26    17.4424    40.2328   
2738.38    17.4739    40.7853   
2778.08    17.4077    41.3961   
2818.35    17.3365    42.0138   
2859.2     17.2603    42.6385   
2900.64    17.1789    43.2702   
2942.69    17.0922    43.9091   
2985.34    17.1148    44.693    
3028.62    17.1333    45.4894   
3072.52    17.1476    46.2984   
3117.05    17.1577    47.1202   
3162.24    17.1633    47.9549   
3208.07    17.1411    48.5434   
3254.58    17.1161    49.1382   
3301.75    17.0883    49.7393   
3349.61    17.0576    50.3467   
3398.16    17.024     50.9605   
3447.42    17.0455    51.8537   
3497.39    17.063     52.7612   
3548.09    17.0763    53.6833   
3599.52    17.0854    54.62     
3651.69    17.0899    55.5717   
3704.63    17.0739    56.3629   
3758.33    17.0542    57.1643   
3812.8     17.0308    57.976    
3868.07    17.0037    58.7981   
