# Freq.    Re    Im
20.4171    -0.371072  -0.154805 
20.535     -0.371033  -0.155678 
20.6535    -0.370992  -0.156552 
20.7727    -0.370949  -0.157426 
20.8927    -0.370904  -0.158301 
21.0133    -0.370858  -0.159176 
21.1346    -0.37081   -0.160052 
21.2566    -0.370759  -0.160929 
21.3793    -0.370707  -0.161806 
21.5027    -0.370752  -0.162723 
21.6269    -0.370795  -0.163642 
21.7517    -0.370837  -0.164562 
21.8773    -0.370876  -0.165482 
22.0036    -0.370914  -0.166404 
22.1306    -0.37095   -0.167327 
22.2584    -0.370984  -0.168251 
22.3869    -0.371016  -0.169176 
22.5161    -0.371047  -0.170101 
22.6461    -0.371075  -0.171028 
22.7769    -0.371107  -0.171976 
22.9084    -0.371137  -0.172924 
23.0406    -0.371166  -0.173874 
23.1736    -0.371192  -0.174824 
23.3074    -0.371217  -0.175776 
23.442     -0.371239  -0.176729 
23.5773    -0.37126   -0.177683 
23.7134    -0.371278  -0.178638 
23.8503    -0.371295  -0.179593 
23.988     -0.371309  -0.18055  
24.1265    -0.371382  -0.18164  
24.2658    -0.371452  -0.182731 
24.4058    -0.371519  -0.183823 
24.5467    -0.371584  -0.184917 
24.6885    -0.371647  -0.186013 
24.831     -0.371708  -0.187111 
24.9743    -0.371766  -0.188209 
25.1185    -0.371821  -0.18931  
25.2635    -0.371874  -0.190412 
25.4094    -0.371925  -0.191515 
25.5561    -0.371862  -0.192649 
25.7036    -0.371797  -0.193784 
25.852     -0.371729  -0.194921 
26.0012    -0.371659  -0.196058 
26.1513    -0.371585  -0.197196 
26.3023    -0.371508  -0.198336 
26.4542    -0.371429  -0.199476 
26.6069    -0.371347  -0.200618 
26.7605    -0.371261  -0.201761 
26.915     -0.371173  -0.202904 
27.0703    -0.371269  -0.203945 
27.2266    -0.371363  -0.204988 
27.3838    -0.371455  -0.206033 
27.5419    -0.371545  -0.207078 
27.7009    -0.371634  -0.208126 
27.8608    -0.371719  -0.209175 
28.0217    -0.371804  -0.210226 
28.1834    -0.371885  -0.211279 
28.3461    -0.371966  -0.212333 
28.5098    -0.372043  -0.213389 
28.6744    -0.372119  -0.214446 
28.8399    -0.372005  -0.215733 
29.0064    -0.371887  -0.217021 
29.1739    -0.371765  -0.21831  
29.3423    -0.371639  -0.2196   
29.5117    -0.37151   -0.220892 
29.682     -0.371377  -0.222185 
29.8534    -0.37124   -0.223479 
30.0257    -0.3711    -0.224774 
30.1991    -0.370956  -0.226071 
30.3734    -0.370808  -0.227369 
30.5488    -0.370657  -0.228668 
30.7251    -0.370688  -0.229974 
30.9025    -0.370717  -0.231281 
31.0809    -0.370742  -0.232591 
31.2603    -0.370764  -0.233904 
31.4408    -0.370783  -0.235218 
31.6223    -0.370798  -0.236535 
31.8049    -0.370811  -0.237853 
31.9885    -0.37082   -0.239174 
32.1732    -0.370825  -0.240497 
32.3589    -0.370827  -0.241823 
32.5457    -0.370924  -0.243214 
32.7336    -0.371017  -0.244609 
32.9226    -0.371107  -0.246006 
33.1126    -0.371193  -0.247406 
